,title,view,channel,uploadtime,length,link,subscriber,like,dislike
0,President Trump not taking responsibility for coronavirus testing issues,611K views,ABC News,4 hours ago,3:06,https://www.youtube.com/watch?v=pDwBxGOb1Zs,7.91M,"5,376","6,584"
1,Trump declares 'national emergency' for coronavirus,970K views,CNN,5 hours ago,10:40,https://www.youtube.com/watch?v=OtAQJjN1kcg,8.76M,"7,490","2,648"
2,Coronavirus special: Are we doing enough?,154K views,Channel 4 News,7 hours ago,45:14,https://www.youtube.com/watch?v=C98FmoZVbjs,1.16M,"1,954",214
3,"Coronavirus Impacts Tom Hanks, the NBA and Monkeys in Thailand | The Daily Show",1.2M views,The Daily Show with Trevor Noah,16 hours ago,6:24,https://www.youtube.com/watch?v=4IlwdyacDZg,6.59M,"30,672",817
4,"LIVE: Coronavirus death toll, infections and recoveries",306K views,South China Morning Post,Streamed 19 hours ago,8:03:20,https://www.youtube.com/watch?v=3NTREAc1jTo,936K,"1,620",159
5,Nearly 200 people die in Italy in last 24 hours from coronavirus,677K views,ABC News,1 day ago,4:14,https://www.youtube.com/watch?v=cZciLknWNsg,7.91M,"4,429",459
6,U.S. Ill Served By Trump's Repeated Lying About Coronavirus Response | Rachel Maddow | MSNBC,270K views,MSNBC,23 hours ago,2:47,https://www.youtube.com/watch?v=z77IdsapJqk,2.44M,"3,824","3,258"
7,ER Doctor Explains What To Do If You Start Showing Coronavirus Symptoms | All In | MSNBC,171K views,MSNBC,1 day ago,5:01,https://www.youtube.com/watch?v=unN8leCvHyM,2.44M,"1,649",209
8,State of emergency declared in New York City over coronavirus,1.5M views,ABC News,1 day ago,6:28,https://www.youtube.com/watch?v=T6bjC8R2pUw,7.91M,"14,780","1,205"
9,First Take reacts to Donovan Mitchell testing positive for coronavirus,2.2M views,ESPN,1 day ago,5:31,https://www.youtube.com/watch?v=33A8lbmSdPY,6.78M,"25,156","1,744"
10,Top health official on US response to coronavirus pandemic,258K views,ABC News,1 day ago,8:19,https://www.youtube.com/watch?v=9qZehXrLq6g,7.91M,"1,967",228
11,Rudy Gobert apologizes for exposing others to coronavirus | SportsCenter,413K views,ESPN,1 day ago,4:13,https://www.youtube.com/watch?v=Q2dss9pGShU,6.78M,"3,978",227
12,Coronavirus: Drastic measures in US & Europe as cases soar - BBC News,849K views,BBC News,1 day ago,31:12,https://www.youtube.com/watch?v=M53iJduvDSA,6.58M,"6,534",613
13,‘We’re dealing with a national emergency’: Sanders on coronavirus,57K views,ABC News,1 day ago,6:29,https://www.youtube.com/watch?v=G7GDNhC1VF0,7.91M,"1,164",222
14,"Coronavirus around the world: March 12, 2020",312K views,Global News,1 day ago,3:26,https://www.youtube.com/watch?v=cAJppuDz-Mg,1.24M,"1,539",132
15,"Trump outlines U.S. response to coronavirus outbreak, restricts travel from Europe | ABC News",1.2M views,ABC News,2 days ago,4:04,https://www.youtube.com/watch?v=qyVX-pu-ZDk,7.91M,"10,596","2,499"
16,Congress And Trump Admin. Scramble For Coronavirus Aid Deal As Pandemic Causes Panic | Nightly News,397K views,NBC News,1 day ago,10:58,https://www.youtube.com/watch?v=X7ERdQYlq8I,2M,"2,777",291
17,Let's talk about Coronavirus,2.2M views,Markiplier,1 day ago,7:10,https://www.youtube.com/watch?v=VwsGzkLu-j0,25.1M,"270,966","4,394"
18,Ingraham: Coronavirus pandemic spreads through US,319K views,Fox News,1 day ago,5:52,https://www.youtube.com/watch?v=ACLU0OxWisE,4.48M,"6,501",705
19,FULL SPEECH: President Trump address the nation on coronavirus (9 minutes),279K views,WPTV News | West Palm Beach Florida,2 days ago,9:31,https://www.youtube.com/watch?v=mii6NydPiqI,136K,"2,544",694
20,Mark Cuban reacts to NBA suspending season due to coronavirus | NBA on ESPN,300K views,ESPN,2 days ago,3:17,https://www.youtube.com/watch?v=b2-wU42KJ0c,6.78M,"2,999",79
21,Tom Hanks and Rita Wilson test positive for coronavirus,550K views,CNN,2 days ago,8:49,https://www.youtube.com/watch?v=Wbk8ZrfU3EM,8.76M,"5,380","1,092"
22,Tracing The Origin Of The Coronavirus | NBC News NOW,338K views,NBC News,2 days ago,5:28,https://www.youtube.com/watch?v=mNB8zN5CQGc,2M,"2,706",299
23,Coronavirus update: Wednesday 11 March | ITV News,326K views,ITV News,2 days ago,1:18,https://www.youtube.com/watch?v=0ovMBrJmbK8,440K,"2,182",239
24,"Tom Hanks, Rita Wilson Test Positive For Coronavirus | Rachel Maddow | MSNBC",319K views,MSNBC,2 days ago,1:11,https://www.youtube.com/watch?v=CCjBSvrT-SU,2.44M,"2,621",347
25,Trump suspends travel from Europe to battle coronavirus,560K views,Los Angeles Times,2 days ago,9:41,https://www.youtube.com/watch?v=KYVy_0yUSXM,276K,"7,954","1,417"
26,Mark Cuban Reacts To NBA Suspending Season Indefinitely Because Of Coronavirus,680K views,Bleacher Report,2 days ago,3:24,https://www.youtube.com/watch?v=HxaPga-WD1U,1.73M,"5,488",169
27,Anthony Fauci says novel coronavirus '10 times deadlier than the flu',536K views,ABC News,2 days ago,4:16,https://www.youtube.com/watch?v=dM74KiaksgM,7.91M,"3,861",466
28,Mark Cuban on coronavirus: This is much bigger than basketball | NBA on ESPN,375K views,ESPN,2 days ago,6:23,https://www.youtube.com/watch?v=vUB5DST4z-E,6.78M,"5,024",141
29,Trump Addresses The Nation On Coronavirus From Oval Office | NBC News (Live Stream Recording),1M views,NBC News,Streamed 2 days ago,17:25,https://www.youtube.com/watch?v=I09RkjLcFpU,2M,"6,549","2,695"
30,Coronavirus Test Shortage Raises Alarm As Washington State Bans Mass Gatherings | NBC Nightly News,352K views,NBC News,2 days ago,14:20,https://www.youtube.com/watch?v=JLZjUz9ZTn0,2M,"2,316",178
31,Trump proposes economic changes over coronavirus l ABC News,98K views,ABC News,2 days ago,8:41,https://www.youtube.com/watch?v=AOeHMFC8U1c,7.91M,491,238
32,Trump Announces Travel Restrictions From Europe Over Coronavirus | NBC News,37K views,NBC News,2 days ago,1:16,https://www.youtube.com/watch?v=9jLlwqWKSFs,2M,277,102
33,BREAKING: NBA suspends season after Rudy Gobert tests positive for coronavirus | CBS Sports HQ,425K views,CBS Sports,2 days ago,8:04,https://www.youtube.com/watch?v=WfOuA-Rq_4Y,241K,"3,193",205
34,"Donovan Mitchell second NBA player to test positive for coronavirus, per report | CBS Sports HQ",199K views,CBS Sports,1 day ago,7:32,https://www.youtube.com/watch?v=NQ638csGhI8,241K,"1,033",84
35,Pres. Trump discusses coronavirus outbreak while meeting with Ireland Prime Minister | ABC News,303K views,ABC News,1 day ago,3:47,https://www.youtube.com/watch?v=37tGRZgBz6g,7.91M,"2,376",753
36,Third person in UK dies from coronavirus as cases rise to 273 | ITV News,216K views,ITV News,5 days ago,2:51,https://www.youtube.com/watch?v=DmTcMya-3fI,440K,"1,071",212
37,NBA suspends season due to coronavirus | SportsCenter,596K views,ESPN,2 days ago,4:52,https://www.youtube.com/watch?v=zNWBz4GCiUo,6.78M,"6,652",236
38,Mike Breen Announces the NBA Suspended the Season Because of the Coronavirus,143K views,Bleacher Report,2 days ago,0:43,https://www.youtube.com/watch?v=Z9IfFHlTX-k,1.73M,"2,051",50
39,Coronavirus outbreak: Justin Trudeau addresses his wife's COVID-19 diagnosis | FULL,239K views,Global News,Streamed 11 hours ago,52:54,https://www.youtube.com/watch?v=SjEgtT98jqk,1.24M,"1,719",663
40,Bill de Blasio - Confronting the Coronavirus Outbreak in New York City | The Daily Show,1M views,The Daily Show with Trevor Noah,2 days ago,15:28,https://www.youtube.com/watch?v=aM2DZjsgAlA,6.59M,"15,351","2,403"
41,Trump Addresses the Nation on the Coronavirus Pandemic: A Closer Look,2.4M views,Late Night with Seth Meyers,1 day ago,16:36,https://www.youtube.com/watch?v=-SoZcjMWxm8,3.5M,"60,243","1,626"
42,Where Does The U.S. Response To Coronavirus Stand? | Morning Joe | MSNBC,501K views,MSNBC,4 days ago,15:44,https://www.youtube.com/watch?v=zzv1Srm9eVo,2.44M,"3,858",298
43,The NBA should be commended for its quick action on coronavirus - Rachel Nichols | SportsCenter,169K views,ESPN,2 days ago,4:47,https://www.youtube.com/watch?v=2cjv2lQZN34,6.78M,"2,037",157
44,Trump 'Not Concerned' About Contact With Brazilian Aide Exposed to Coronavirus,201K views,QuickTake by Bloomberg,1 day ago,1:10,https://www.youtube.com/watch?v=u1Dzg-jVxFE,178K,898,535
45,Coronavirus outbreak: Donald Trump declares national emergency over COVID-19 | FULL,485K views,Global News,Streamed 8 hours ago,1:12:36,https://www.youtube.com/watch?v=HMGHiI44-XY,1.24M,"3,930","1,202"
46,Infectious Disease Expert: Half Of America Is Likely To Catch Coronavirus | The 11th Hour | MSNBC,399K views,MSNBC,2 days ago,3:20,https://www.youtube.com/watch?v=7ajACc7ul4k,2.44M,"2,442",432
47,Coronavirus Is Our Future | Alanna Shaikh | TEDxSMU,2.8M views,TEDx Talks,2 days ago,16:46,https://www.youtube.com/watch?v=Fqw-9yMV0sI,23.5M,"88,772","5,582"
48,Trump Contradicts Experts as Coronavirus Is Declared a Pandemic: A Closer Look,2.4M views,Late Night with Seth Meyers,2 days ago,15:44,https://www.youtube.com/watch?v=7rMEA6KN_RU,3.5M,"36,513","1,801"
49,Coronavirus Crisis: Your Questions Answered | NBC News (Live Stream Recording),356K views,NBC News,Streamed 2 days ago,1:00:14,https://www.youtube.com/watch?v=YDmOEPI4-8Y,2M,"2,175",451
50,Coronavirus: Virus cases rise rapidly in Europe and US - BBC News,1.2M views,BBC News,2 days ago,8:30,https://www.youtube.com/watch?v=DoHOYCbmJoE,6.58M,"8,482",736
51,W.H.O declares coronavirus 'pandemic' - as UK sees highest daily rise in cases,814K views,Channel 4 News,2 days ago,13:55,https://www.youtube.com/watch?v=vFaC8hKovlQ,1.16M,"6,208",734
52,Coronavirus Misinformation & Toilet Paper Panic | The Daily Show,2.2M views,The Daily Show with Trevor Noah,2 days ago,6:12,https://www.youtube.com/watch?v=Ls0ZormAOhU,6.59M,"50,976","1,072"
53,"Global National: March 11, 2020 | WHO declares coronavirus a global pandemic",215K views,Global News,2 days ago,22:15,https://www.youtube.com/watch?v=XcARC2mrmcQ,1.24M,"1,089",118
54,Coronavirus: Should the UK quarantine like Italy? - BBC,466K views,BBC,2 days ago,7:00,https://www.youtube.com/watch?v=_zlwWDS-DCs,8.16M,"4,096",400
55,What China's Pollution Says About Coronavirus and the Economy | WSJ,353K views,Wall Street Journal,2 days ago,4:31,https://www.youtube.com/watch?v=cHSftdHskxs,2.03M,"5,930",254
56,The 5 Stages of Coronavirus,1.8M views,Jimmy Kimmel Live,2 days ago,11:37,https://www.youtube.com/watch?v=mD97kJVCOXM,16.4M,"29,705","1,778"
57,Coronavirus Causes Disruptions For U.S. Airlines | NBC Nightly News,91K views,NBC News,3 days ago,1:48,https://www.youtube.com/watch?v=xcGUv4thtHA,2M,326,35
58,Coronavirus Expert Dr. Fauci And CDC Head Dr. Redfield Testify Before House | NBC News (Live Stream),535K views,NBC News,Streamed 1 day ago,1:51:32,https://www.youtube.com/watch?v=h34z6hS52YM,2M,"3,908",520
59,Chris Hayes On How The U.S. Is On Italy's Coronavirus Trajectory | All In | MSNBC,311K views,MSNBC,2 days ago,6:34,https://www.youtube.com/watch?v=_-VxuZmEhV0,2.44M,"4,475",248
60,Novel Coronavirus explained l ABC News,417K views,ABC News,3 days ago,2:46,https://www.youtube.com/watch?v=CXOsVXybVJY,7.91M,"2,712",340
61,Washington state braces for thousands of potential coronavirus cases,137K views,CBS This Morning,2 days ago,2:48,https://www.youtube.com/watch?v=j6HSjsGVwrc,1.24M,602,152
62,"ABC News Prime: Coronavirus national emergency, life under quarantine, stock market",202K views,ABC News,Streamed 5 hours ago,1:00:33,https://www.youtube.com/watch?v=wDbyThHkctA,7.91M,"1,860",288
63,Italy on lockdown over coronavirus l ABC News,442K views,ABC News,2 days ago,6:19,https://www.youtube.com/watch?v=l5twUq9iPSE,7.91M,"2,743",218
64,Coronavirus Enters Devastating New Phase | Morning Joe | MSNBC,748K views,MSNBC,1 day ago,4:42,https://www.youtube.com/watch?v=vzOLgfU9ypQ,2.44M,"4,980","1,724"
65,Adam Schiff On Trump's Response To Coronavirus: 'Incompetence Kills' | The Last Word | MSNBC,412K views,MSNBC,2 days ago,1:01,https://www.youtube.com/watch?v=fMlbywEMj3U,2.44M,"3,013","8,262"
66,Coronavirus: Cruise ship Grand Princess docks in California - BBC News,315K views,BBC News,2 days ago,17:40,https://www.youtube.com/watch?v=7S-1QRRWj10,6.58M,"2,130",304
67,Trump: Coronavirus is a world problem and we need separation,384K views,Fox News,1 day ago,25:34,https://www.youtube.com/watch?v=O8qC6YLsg7g,4.48M,"7,170",417
68,"Trump says he will ""most likely"" get tested for coronavirus",1.7K views,CBS News,6 hours ago,1:04,https://www.youtube.com/watch?v=VNDTOtyPfDA,2.4M,392,161
69,Coronavirus outbreak: Countries react after COVID-19 declared a global pandemic,162K views,Global News,2 days ago,8:02,https://www.youtube.com/watch?v=fGuUh-BmnvI,1.24M,970,81
70,Coronavirus Explained: What does pandemic declaration mean for the world?,166K views,Channel 4 News,2 days ago,6:44,https://www.youtube.com/watch?v=XJV3X8zM1bU,1.16M,"1,688",151
71,Coronavirus: Italy in lockdown - BBC News,1M views,BBC News,3 days ago,18:20,https://www.youtube.com/watch?v=_69sOxWU0jo,6.58M,"6,662",478
72,"Coronavirus Is 10 Times More Lethal Than Seasonal Flu, Fauci Says",72K views,Bloomberg Markets and Finance,2 days ago,1:58,https://www.youtube.com/watch?v=2DekzGCJhJw,564K,853,56
73,Iran Played Down the Coronavirus. Then Its Officials Got Sick | NYT News,482K views,The New York Times,3 days ago,4:07,https://www.youtube.com/watch?v=lm2UFynetJw,2.55M,"6,053",334
74,Coronavirus is Not an Excuse to Be Racist | Full Frontal on TBS,288K views,Full Frontal with Samantha Bee,2 days ago,8:14,https://www.youtube.com/watch?v=Oq-06inhB3U,991K,"8,710","1,271"
75,Major lockdown in Italy from coronavirus,305K views,ABC News,5 days ago,2:00,https://www.youtube.com/watch?v=TlP6Tlj04T4,7.91M,"2,109",229
76,"Coronavirus around the world: March 11, 2020",71K views,Global News,2 days ago,4:10,https://www.youtube.com/watch?v=5XcC62KBC9c,1.24M,416,33
77,"Sen. Bernie Sanders on the Trump Administration's Coronavirus Missteps, Greed, Grandkids",246K views,The Tonight Show Starring Jimmy Fallon,2 days ago,5:25,https://www.youtube.com/watch?v=y2P5QbaJt_g,24.2M,"9,530",589
78,Corona Virus के बारे में जनता की जानकारी | Q&A | Coronavirus Disease | COVID 19 | Precautions | WHO,172K views,The Lallantop,6 days ago,4:37,https://www.youtube.com/watch?v=DoMTUTuDtGE,12M,"1,738",288
79,Merkel: Most people in Germany likely to contract Coronavirus | DW News,289K views,DW News,2 days ago,15:42,https://www.youtube.com/watch?v=6CGi41nB3tA,1.07M,"3,038",214
80,"Trump's coronavirus news conference, in 3 minutes",478K views,Washington Post,6 hours ago,3:14,https://www.youtube.com/watch?v=StLcOSSXDQw,1M,"3,049",904
81,Joe Biden Gives Speech On Coronavirus Pandemic | NBC News (Live Stream Recording),333K views,NBC News,Streamed 1 day ago,18:55,https://www.youtube.com/watch?v=kMxokey64pU,2M,"4,156","1,871"
82,"COVID-19 (Coronavirus Disease 19) - causes, symptoms, diagnosis, treatment, pathology",1.2M views,Osmosis,4 weeks ago,12:21,https://www.youtube.com/watch?v=eup3_i_5uaw,1.42M,"20,233",621
83,Coronavirus: Busting The Myths | This Morning,154K views,This Morning,3 days ago,7:23,https://www.youtube.com/watch?v=VRlO-LwKJVA,1.66M,"1,891",172
84,COVID-19: Tenth patient dies as UK coronavirus cases hit 590,286K views,Sky News,1 day ago,5:33,https://www.youtube.com/watch?v=1xpEt20PPbQ,1.89M,"2,280",195
85,Daily Life Is Changing For Millions Of Americans As Coronavirus Crisis Grows,2.7M views,The Late Show with Stephen Colbert,2 days ago,11:40,https://www.youtube.com/watch?v=lk0sQEhrY5U,7.26M,"38,010","1,273"
86,"Tom Hanks, Rita Wilson test positive for coronavirus",428K views,Fox News,2 days ago,3:07,https://www.youtube.com/watch?v=XKQhhpc1VFQ,4.48M,"5,437",367
87,Italy on nationwide lockdown as coronavirus cases surge,317K views,CBS News,3 days ago,6:05,https://www.youtube.com/watch?v=0Urov6W7h00,2.4M,"1,847",278
88,"Tom Hanks, Wife Rita Wilson Diagnosed With Coronavirus",12K views,CBS Los Angeles,1 day ago,2:32,https://www.youtube.com/watch?v=jHKGFLsir9A,419K,122,22
89,"Trump’s Coronavirus Address, Blooper Reel Included | The Daily Show",2.4M views,The Daily Show with Trevor Noah,1 day ago,9:23,https://www.youtube.com/watch?v=BWO6i8cH8SA,6.59M,"58,420","2,269"
90,Trump discusses economics surrounding coronavirus in press conference,526K views,Fox News,Streamed 4 days ago,43:20,https://www.youtube.com/watch?v=-IVcbzcY1Q8,4.48M,"8,783",871
91,CORONAVIRUS PANDEMIC EXPLAINED - CORONA OUTBREAK 2020,570K views,MEDSimplified,1 week ago,10:07,https://www.youtube.com/watch?v=sWjYs7aILZ8,273K,"8,742",527
92,CDC director testifies on delay of coronavirus test kits as concerns grow | Nightline,130K views,ABC News,2 days ago,8:25,https://www.youtube.com/watch?v=yGEaYaUg1T8,7.91M,"1,086",206
93,Coronavirus: 21 People On Grand Princess Test Positive For COVID-19 | TODAY,643K views,TODAY,6 days ago,10:45,https://www.youtube.com/watch?v=fbNhGf8_h-s,1.78M,"4,296",751
94,"Coronavirus Symptoms, Diagnosis, Treatment, & Vaccine Status",1.2M views,MedCram - Medical Lectures Explained CLEARLY,1 month ago,4:33,https://www.youtube.com/watch?v=UCG3xqtcL3c,596K,"11,867",548
95,Rudy Gobert mocked Coronavirus by touching all the mics,810K views,MLG Highlights,2 days ago,0:27,https://www.youtube.com/watch?v=lYC6oQIAzbI,447K,"3,233",715
96,Trump declares a national emergency over coronavirus,243K views,CBS News,8 hours ago,9:44,https://www.youtube.com/watch?v=JHW_Gqj1X9U,2.4M,"1,543",350
97,National Guard Deployed To Help Contain Coronavirus In NYC Suburb | TODAY,278K views,TODAY,2 days ago,10:01,https://www.youtube.com/watch?v=XjYOAt4PX-w,1.78M,"1,619",182
98,NBA Suspends Rest Of Season After Player Tests Positive For Coronavirus | Rachel Maddow | MSNBC,34K views,MSNBC,2 days ago,1:31,https://www.youtube.com/watch?v=G8_8J8Fzd0Y,2.44M,335,17
99,CNN polled Americans about coronavirus. Here's what they said,510K views,CNN,4 days ago,3:27,https://www.youtube.com/watch?v=4Vsjtvm4cyA,8.76M,"4,154",921
100,Novel coronavirus (2019-nCoV),2.4M views,World Health Organization (WHO),1 month ago,4:49,https://www.youtube.com/watch?v=mOV1aBVYKGA,201K,"12,221",661
101,Coronavirus in Hindi | Coronavirus Latest Update | Coronavirus Symptoms in Humans | Corona-Virus,800K views,Magnet Brains,2 weeks ago,16:31,https://www.youtube.com/watch?v=ECXJoqSvIys,141K,"16,692","1,050"
102,Fast moving developments in the coronavirus outbreak,723K views,ABC News,5 days ago,4:45,https://www.youtube.com/watch?v=ya3Pqasvyno,7.91M,"6,180",973
103,Everyone's a Coronavirus Expert,3.1M views,Jimmy Kimmel Live,2 days ago,8:47,https://www.youtube.com/watch?v=1LfQlYESTHg,16.4M,"58,801","5,123"
104,How Coronavirus Kills: Acute Respiratory Distress Syndrome (ARDS) & Treatment,2.4M views,MedCram - Medical Lectures Explained CLEARLY,1 month ago,11:05,https://www.youtube.com/watch?v=okg7uq_HrhQ,596K,"39,384","1,203"
105,Coronavirus survivor reveals what it's like to have Covid-19,3.8M views,Channel 4 News,3 days ago,8:11,https://www.youtube.com/watch?v=G9oqvJ3iXGI,1.16M,"48,939","2,936"
106,Coronavirus: Northern Italy quarantines 16 million people - BBC News,1.5M views,BBC News,5 days ago,6:14,https://www.youtube.com/watch?v=Lex_mt9o64o,6.58M,"12,974",797
107,Coronavirus: Italy extends strict measures to whole country – BBC News,1.7M views,BBC News,4 days ago,17:15,https://www.youtube.com/watch?v=Z2mw6aglRuM,6.58M,"11,920","1,122"
108,Ted Cruz will self-quarantine after interacting with individual with coronavirus at CPAC,1.1M views,CNN,5 days ago,6:32,https://www.youtube.com/watch?v=PbvVGko2LmI,8.76M,"8,997","1,979"
109,Coronavirus: what we know so far about the outbreak spreading in China and abroad,2.8M views,South China Morning Post,1 month ago,5:27,https://www.youtube.com/watch?v=Zru5REL9ANg,936K,"16,640","1,300"
110,‘I’m surprised we’re not moving sooner’ on coronavirus - Former UK Health Secretary Jeremy Hunt,640K views,Channel 4 News,1 day ago,10:40,https://www.youtube.com/watch?v=3rmMh2pLKAc,1.16M,"5,900",516
111,China coronavirus 'spreads before symptoms show' - BBC News,2.5M views,BBC News,1 month ago,4:02,https://www.youtube.com/watch?v=0jAWPcyPFQc,6.58M,"22,103","1,103"
112,Coronavirus lockdown in Italy as 16 million people quarantined,554K views,Channel 4 News,5 days ago,7:35,https://www.youtube.com/watch?v=jQsKe2n3bk4,1.16M,"3,759",292
113,Trump Addresses A Nation On Edge As Local Officials Lead On Coronavirus | The 11th Hour | MSNBC,160K views,MSNBC,2 days ago,6:47,https://www.youtube.com/watch?v=Sqn1Ab2DsDo,2.44M,"1,508",221
114,Coronavirus: Milan set for lockdown,551K views,Sky News,6 days ago,3:11,https://www.youtube.com/watch?v=Zh3YBVjDXfY,1.89M,"3,294",200
115,Coronavirus outbreak: Mother of sick daughter from virus-hit region pleads for help,4.3M views,Global News,1 month ago,3:44,https://www.youtube.com/watch?v=NytLE5ECa8M,1.24M,"29,183","1,960"
116,"Coronavirus Concerns Empty Planes, Leaving Airline Industry Reeling | TODAY",636K views,TODAY,2 days ago,3:55,https://www.youtube.com/watch?v=0xqGmEhEyW8,1.78M,"3,491",212
